Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
rfacbe.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
sinsona.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
db.uwaterloo.ca,0,0,0,3,0,0,0,0,0,1,0,1,1,1,1,1,0
eperfumes.ca,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
stuffatweb.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0
pcengines.ch,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
top10filmy.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
utsc.utoronto.ca,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
rhemagh.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0
isbodyjewelry.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
58.192.78.230:8081,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0
hungamatv.com,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
coalcreekcoffee.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
iw4510.freehostgate.net,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
964014-de-prob-sicher-account.sicherheitssystem-sicherheitshilf,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0
realpropertyinc.net,0,0,1,6,0,0,0,0,0,1,1,1,1,1,1,1,0
decvidros.com.br,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,0
etherpunk.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
pratiquesaude.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
sparkdeal.in,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0
ilovechickenpoop.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
gamesevideogames.com.br,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,0
realestateinsarasotabradenton.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
crain.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
whiterose.co.th,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
aagreentea.freeservers.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
nops2sign.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,0
funnyidcard.com,0,1,0,3,0,0,0,0,1,1,1,1,1,1,1,1,0
mista.eu,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0
joesbarbequecompany.com,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
whispersinthecorridors.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
gripvaninavan.com,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0
boygirlvip.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
s-yard.co.kr,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
lopspl.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
mumbaimirror.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
gbgarts.com,0,0,1,6,0,0,0,0,0,0,0,1,0,0,1,0,0
simoneodontologia.com.br,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,0
ringtonsfranchise.co.uk,0,0,1,5,1,0,0,0,0,1,0,0,1,1,1,1,0
aridfoods.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
xanhtuoi.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
footballuniverse.net,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0
football.co.uk,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0
sainiestate.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
metrovaartha.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
amitmehra.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
resolutionservicehelp.gq,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
knotjustweeds.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
sitenhazir.com,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0
recont.sovancobellara.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,0
weaverconstructionllc.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
sloroasted.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
theblueowl.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
artebinaria.com,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,0
mathhelpforum.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
hulaheaven.net,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
redriding.in,0,0,1,5,0,0,0,0,0,1,0,0,1,1,1,1,0
theradianthotel.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
lotionsandpotions.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
careerandresume.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
dodge.com,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
badoeudn.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
uniformesescolares.com.ec,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0
resumequeen.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
mgnet.org,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
repair-discovery-nasution.fulba.com,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0
silkroadteas.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
kidsolr.com,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0
property-dealer.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
roboticstrends.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
mellotronen.com,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
ssavy.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
m24.telemedellin.tv,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
showbizradio.net,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
greenaura.net,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0
therapie-art.ch,0,0,0,3,0,0,0,1,0,0,1,1,0,0,1,0,0
dietadeluxe.pl,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
jnzbtb.cn,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0
pianolessonstampa.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
ourhansenfamily.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0
realmadrid.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
sys-arcis.net,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,0
viral-oman.com,0,0,0,2,0,0,0,1,0,1,1,1,0,0,1,0,0
skarosser.se,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
forestersrest.com,0,0,1,2,0,0,1,0,1,1,1,1,1,1,1,1,0
ouidad.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ctlservicos.com.br,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1,0
mshippingc.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
monitor.upeace.org,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
fameyang.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
floralcraftsupplies.co.uk,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
equistrip.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
hoise.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
italiancoffeehouse.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
reviewplays.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
jackrx.com,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0
custom.gtm.idmanagedsolutions.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,0
recordandtapetraders.com,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
botham.co.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
luv56.ru,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,0
munktiki.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
123iitjee.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
portal-mobvi.com,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,0
audiolibrosvenezuela.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,0
dept.aoe.vt.edu,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
tech-apk.nichost.ru,0,0,1,3,0,0,0,1,0,0,0,1,0,0,1,0,0
klimark.com.pl,0,0,0,3,0,0,0,0,0,1,0,1,1,1,1,1,0
autoescolajacana.com.br,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
plato.stanford.edu,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
indianfriedchicken.net,0,0,1,3,0,0,0,0,0,0,1,1,1,1,1,1,0
kf25zx.com,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
hotelchocolat.com,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
andhrajyothy.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
moreau.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
escolainfantilkairos.com.br,0,0,1,5,0,0,0,0,0,1,1,0,0,0,1,0,0
explorelearning.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
usaa.com.index-accountverification-notification-alert.com.gpgar,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0
khsosi.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,0
uwsp.edu,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,1,0
adresse-e-mail-bluewin.jimdo.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
service-paypal-information.sweddy.com,0,0,1,2,0,0,0,1,0,1,1,1,0,0,1,0,0
mehndiratta.net,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
executivehomerents.com,0,0,1,7,0,0,0,0,0,1,1,1,0,0,1,0,0
fbsetinggsactives.esy.es,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,0
plato.stanford.edu,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
apollophoton.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
ganiinc.co.za,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,0
portaldeiquique.com,0,0,1,5,0,0,0,0,0,1,1,1,1,1,1,1,0
dolcethotel.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
cehandbook.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
christopherbean.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
app-terms-page.at.ua,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0
currysleather.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
images.apple.com,0,0,0,4,0,0,0,0,0,1,1,1,0,0,1,0,0
livinchurch.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0
maximumpcguides.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
badoeudn.com,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
roofrescuerepair.co.za,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0
time4s.pl,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0
heathervictoriaheld.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
fibrasmais.com.br,0,0,0,2,0,0,0,0,0,1,1,0,1,1,1,1,0
waterinfo.nic.in,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
people.virginia.edu,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
ai.stanford.edu,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
cavalheiro.eng.br,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
numbers.computation.free.fr,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0
cmth.ph.ic.ac.uk,0,0,1,5,0,0,0,0,0,1,1,1,1,1,1,1,0
collectorsfirearms.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
skysports.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
heathervictoriaheld.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
barkclothhawaii.com,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
mista.eu,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0
modernyear.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,0
goldskin.com.mx,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0
santacruzcoffee.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
larsenskringle.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
buffetcomecome.com.br,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
ghfordtea.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
hiroba.dqx.jp.iczxl.usa.cc,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
countryhousefloral.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
nissanpusat.com,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
laywheeler.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mathplayground.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
micro-unique.co.za,0,0,1,2,0,0,0,1,0,1,0,1,0,0,1,0,0
talkingballs.co.uk,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
smallflower.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
de.physnet.net,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0
wallawallaroastery.com,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
tediindia.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
support-ecovery-info.twomini.com,0,0,1,2,0,0,0,1,0,1,0,1,0,0,1,0,0
poloimport2012.com,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,1,0
kathyhomeyou.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
uniformespromotex.com,0,0,0,3,0,0,1,0,1,1,1,1,1,1,1,1,0
cmfri.org.in,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0
berrysweetstuff.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
fiberglassmeshes.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
gaden.com.tw,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
appleid.apple.com-subscriptions.manager255608286.kevinfoley.com,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
irisa.fr,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
keratin-spb.ru,0,0,1,3,0,0,0,1,0,1,0,1,1,1,1,1,0
engr.unl.edu,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
fbcancelblockcode20.fnhost.org,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
itaunet1.websiteseguro.com,0,0,1,5,0,0,0,0,0,0,1,1,0,0,1,0,0
gowebtools.com,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,0
talkinbroadway.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
resolutionservicehelp.gq,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1,0
lanling.biz,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
cjs.co.uk,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
bmw.co.uk,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
xara.co.nz,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,0
pt-ssi.com,0,0,1,5,0,0,0,1,0,1,0,1,1,0,1,0,0
cut-the-knot.org,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0
confluentc.com,0,0,1,3,0,0,0,0,0,1,0,0,1,1,1,1,0
embroidery2design.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
lecznica-nowysacz.pl,0,0,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0
jilliandco.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
gz.airplanepilotlessons.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,0
lancasterbbq.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
attackofthekop.co.uk,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
barosana.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
secure.square.logindqxc.usa.cc,0,0,1,4,0,0,0,0,0,0,0,0,1,1,1,1,0
scottbrand.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
sinhal.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
fotografaemsaopaulo.com.br,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,0
oxyflow.in,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
ingdirect.it.h5ehlr3iwikcu6ogultcpwuzs8k2el.ylg4sklbxul1ehf,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0
constructoraluvial.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
cursoparaserralheria.com.br,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1,0
sls-bvba.eu,0,0,1,5,0,0,0,1,0,1,1,1,0,0,1,0,0
sound.jp,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
jadacub.net,0,0,1,8,0,0,0,0,1,1,1,1,1,1,1,1,0
settingfb-page.at.ua,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0
oxyflow.in,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
heathervictoriaheld.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
surgerycosmeticplastic.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
modafemininabrasil.com.br,0,0,1,3,0,0,0,0,0,1,1,0,0,0,1,0,0
crestemcudragoste.ro,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,0
elliotlakeentertainment.com,0,0,1,5,0,0,1,0,0,1,0,0,0,0,1,0,0
fibrasmais.com.br,0,0,0,2,0,0,0,0,0,1,1,0,1,1,1,1,0
ccmacademy.org,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
aatac.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
nuli-toys.co.il,0,0,1,4,0,0,0,1,1,1,1,1,1,1,1,1,0
bruceclay.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
creemorecoffee.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
myglcc.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
bscmusic.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
bharatstudent.com,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
skillstrainer.co.uk,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
pierodecampos.com.br,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
time4s.pl,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0
newsnow.co.uk,0,0,1,6,0,0,0,0,0,1,0,1,0,0,1,0,0
ltraincapital.com,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,0,0
eufo.de,0,0,0,4,0,0,0,0,0,0,1,1,0,0,1,0,0
cbseresults.nic.in,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
movesla.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
futureassociate.com.np,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,0
theroyalstore.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
info-blocking.at.ua,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0
kwaderrec.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
ournepal.info,0,0,1,5,0,0,0,0,0,1,0,1,1,1,1,1,0
chrisandclairegethitched.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,0
mostlychocolate.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
legacyproductsinc.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
lifestylenl.net,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
buwigzgroup.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
zngr.atspace.com,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0
highlinercoffee.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
nanorobotinventor.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
shaga-group.com,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
pneucarcentroautomotivo.com.br,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,0
softpanorama.org,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0
thirdrockdesign.co.uk,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
jaw.or.at,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0
svi.nl,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
settheory.net,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
dileeponline.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
mrscavanaughs.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
telegraphindia.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
groupeageco.ca,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
mendocino-chocolate.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
searchenginewatch.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
dvdwb.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
jfrancisantiquefirearms.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
higginsinsulation.com.au,0,0,1,6,0,0,0,0,0,0,1,1,0,0,1,0,0
hamzadates.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
xperiasol.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0
greysteas.co.uk,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
nirvanashop.org,0,0,0,3,0,0,0,0,0,1,0,1,1,1,1,1,0
manchestercity-mad.co.uk,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
niua.org,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
ilc.pl,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
teleguardia.com,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0
wildwoodguns.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
autoservicioslubrirepuestos.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
dnaindia.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
