Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,Update_Age,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
floralcraftsupplies.co.uk,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
equistrip.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
hoise.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
italiancoffeehouse.com,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
reviewplays.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
jackrx.com,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
custom.gtm.idmanagedsolutions.com,0,0,1,3,0,0,0,0,1,1,0,0,0,1,1,1,1,1
recordandtapetraders.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
botham.co.uk,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0
luv56.ru,0,0,1,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1
munktiki.com,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
123iitjee.com,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0
portal-mobvi.com,0,0,1,2,0,0,0,1,1,1,1,1,0,1,1,1,1,1
audiolibrosvenezuela.com,0,0,0,3,0,0,0,0,1,1,0,1,0,1,1,1,1,1
dept.aoe.vt.edu,0,0,0,2,0,0,0,0,1,1,1,1,0,1,1,1,1,0
tech-apk.nichost.ru,0,0,1,3,0,0,0,1,1,1,0,0,0,1,1,1,1,1
klimark.com.pl,0,0,0,3,0,0,0,0,1,1,1,1,0,1,1,1,1,1
autoescolajacana.com.br,0,0,1,3,0,0,0,0,1,1,1,1,0,1,1,1,1,1
plato.stanford.edu,0,0,0,2,0,0,0,0,1,1,1,1,0,1,1,1,1,0
indianfriedchicken.net,0,0,1,3,0,0,0,0,1,1,0,0,0,1,1,1,1,1
kf25zx.com,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1
hotelchocolat.com,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0
andhrajyothy.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
moreau.com,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0
escolainfantilkairos.com.br,0,0,1,5,0,0,0,0,1,1,1,1,0,1,1,1,1,1
explorelearning.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
usaa.com.index-accountverification-notification-alert.com.gpgar,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1
khsosi.com,0,0,1,3,0,0,0,0,1,1,0,0,0,1,1,1,1,1
uwsp.edu,0,0,0,2,0,0,0,0,1,1,1,1,0,1,1,1,1,0
adresse-e-mail-bluewin.jimdo.com,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1
service-paypal-information.sweddy.com,0,0,1,2,0,0,0,1,1,1,0,0,0,1,1,1,1,1
mehndiratta.net,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0
executivehomerents.com,0,0,1,7,0,0,0,0,1,1,0,0,1,1,1,1,1,1
fbsetinggsactives.esy.es,0,0,1,2,0,0,0,0,1,1,1,1,0,1,1,1,1,1
plato.stanford.edu,0,0,0,2,0,0,0,0,1,1,1,1,0,1,1,1,1,0
apollophoton.com,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0
ganiinc.co.za,0,0,0,3,0,0,0,0,1,1,1,1,0,1,1,1,1,1
portaldeiquique.com,0,0,1,5,0,0,0,0,1,1,0,0,0,1,1,1,1,1
dolcethotel.com,0,0,1,3,0,0,0,0,1,1,0,0,0,1,1,1,1,1
cehandbook.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
christopherbean.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
app-terms-page.at.ua,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1
currysleather.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
images.apple.com,0,0,0,4,0,0,0,0,1,1,1,1,0,1,1,1,1,0
livinchurch.com,0,0,0,2,0,0,0,0,1,1,1,0,0,1,1,1,1,1
maximumpcguides.com,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0
badoeudn.com,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1
roofrescuerepair.co.za,0,0,1,3,0,0,0,0,1,1,1,1,0,1,1,1,1,1
time4s.pl,0,0,0,2,0,0,0,0,1,1,1,1,0,1,1,1,1,1
heathervictoriaheld.com,0,0,1,4,0,0,0,0,1,1,0,0,0,1,1,1,1,1
fibrasmais.com.br,0,0,0,2,0,0,0,0,1,1,1,1,0,1,1,1,1,1
waterinfo.nic.in,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0
people.virginia.edu,0,0,0,2,0,0,0,0,1,1,1,1,0,1,1,1,1,0
ai.stanford.edu,0,0,1,3,0,0,0,0,1,1,1,1,0,1,1,1,1,0
cavalheiro.eng.br,0,0,1,3,0,0,0,0,1,1,1,1,0,1,1,1,1,1
numbers.computation.free.fr,0,0,1,3,0,0,0,0,1,1,0,1,0,1,1,1,1,0
cmth.ph.ic.ac.uk,0,0,1,5,0,0,0,0,1,1,1,1,0,1,1,1,1,0
collectorsfirearms.com,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0
skysports.com,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0
heathervictoriaheld.com,0,0,1,4,0,0,0,0,1,1,0,0,0,1,1,1,1,1
barkclothhawaii.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
mista.eu,0,0,1,3,0,0,0,0,1,1,1,1,0,1,1,1,1,1
modernyear.com,0,0,1,5,0,0,0,0,1,1,1,0,0,1,1,1,1,1
goldskin.com.mx,0,0,0,2,0,0,0,0,1,1,1,0,0,1,1,1,1,1
santacruzcoffee.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
larsenskringle.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
buffetcomecome.com.br,0,0,1,2,0,0,0,0,1,1,1,1,0,1,1,1,1,1
ghfordtea.com,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0
hiroba.dqx.jp.iczxl.usa.cc,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1
countryhousefloral.com,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0
nissanpusat.com,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1
laywheeler.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
mathplayground.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
micro-unique.co.za,0,0,1,2,0,0,0,1,1,1,1,1,0,1,1,1,1,1
talkingballs.co.uk,0,0,1,2,0,0,0,0,1,1,0,0,0,1,1,1,1,0
smallflower.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
de.physnet.net,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0
wallawallaroastery.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
tediindia.com,0,0,1,3,0,0,0,0,1,1,0,0,0,1,1,1,1,1
support-ecovery-info.twomini.com,0,0,1,2,0,0,0,1,1,1,0,0,0,1,1,1,1,1
poloimport2012.com,0,0,1,5,0,0,0,0,1,1,0,0,0,1,1,1,1,1
kathyhomeyou.com,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1
uniformespromotex.com,0,0,0,3,0,0,1,0,1,1,0,0,0,1,1,1,1,1
cmfri.org.in,0,0,1,3,0,0,0,0,1,1,1,0,0,1,1,1,1,1
berrysweetstuff.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
fiberglassmeshes.com,0,0,1,3,0,0,0,0,1,1,0,0,0,1,1,1,1,1
gaden.com.tw,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0
appleid.apple.com-subscriptions.manager255608286.kevinfoley.com,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1
irisa.fr,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0
keratin-spb.ru,0,0,1,3,0,0,0,1,1,1,0,0,0,1,1,1,1,1
engr.unl.edu,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0
fbcancelblockcode20.fnhost.org,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1
itaunet1.websiteseguro.com,0,0,1,5,0,0,0,0,1,1,0,0,0,1,1,1,1,1
gowebtools.com,0,0,1,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1
talkinbroadway.com,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0
resolutionservicehelp.gq,0,0,0,3,0,0,0,0,1,1,1,1,0,1,1,1,1,1
lanling.biz,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
cjs.co.uk,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0
bmw.co.uk,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0
xara.co.nz,0,0,1,4,0,0,0,0,1,1,1,1,0,1,1,1,1,1
pt-ssi.com,0,0,1,5,0,0,0,1,1,1,0,0,0,1,1,1,1,1
cut-the-knot.org,0,0,0,2,0,0,0,1,1,1,0,1,0,1,1,1,1,0
confluentc.com,0,0,1,3,0,0,0,0,1,1,0,0,0,1,1,1,1,1
embroidery2design.com,0,0,1,3,0,0,0,0,1,1,0,1,0,1,1,1,1,1
lecznica-nowysacz.pl,0,0,1,4,0,0,0,1,1,1,0,1,1,1,1,1,1,1
jilliandco.com,0,0,1,3,0,0,0,0,1,1,1,0,0,1,1,1,1,1
gz.airplanepilotlessons.com,0,0,1,2,0,0,0,0,1,1,0,1,0,1,1,1,1,1
lancasterbbq.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
attackofthekop.co.uk,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0
barosana.com,0,0,1,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1
secure.square.logindqxc.usa.cc,0,0,1,4,0,0,0,0,1,1,0,0,0,1,1,1,1,1
scottbrand.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
sinhal.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
fotografaemsaopaulo.com.br,0,0,1,4,0,0,0,0,1,1,1,1,0,1,1,1,1,1
oxyflow.in,0,0,1,4,0,0,0,0,1,1,1,0,0,1,1,1,1,1
ingdirect.it.h5ehlr3iwikcu6ogultcpwuzs8k2el.ylg4sklbxul1ehf,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
constructoraluvial.com,0,0,1,3,0,0,0,0,1,1,0,0,0,1,1,1,1,1
cursoparaserralheria.com.br,0,0,0,3,0,0,0,0,1,1,1,1,0,1,1,1,1,1
sls-bvba.eu,0,0,1,5,0,0,0,1,1,1,1,1,0,1,1,1,1,1
sound.jp,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0
jadacub.net,0,0,1,8,0,0,0,0,1,1,1,0,0,1,1,1,1,1
settingfb-page.at.ua,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1
oxyflow.in,0,0,1,4,0,0,0,0,1,1,1,0,0,1,1,1,1,1
heathervictoriaheld.com,0,0,1,4,0,0,0,0,1,1,0,0,0,1,1,1,1,1
surgerycosmeticplastic.com,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0
modafemininabrasil.com.br,0,0,1,3,0,0,0,0,1,1,1,1,0,1,1,1,1,1
crestemcudragoste.ro,0,0,1,3,0,0,0,0,1,1,1,1,0,1,1,1,1,1
elliotlakeentertainment.com,0,0,1,5,0,0,1,0,1,1,0,1,0,1,1,1,1,1
fibrasmais.com.br,0,0,0,2,0,0,0,0,1,1,1,1,0,1,1,1,1,1
ccmacademy.org,0,0,1,5,0,0,0,0,1,1,0,0,0,1,1,1,1,1
aatac.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
nuli-toys.co.il,0,0,1,4,0,0,0,1,1,1,1,1,0,1,1,1,1,1
bruceclay.com,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0
creemorecoffee.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
myglcc.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
bscmusic.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
bharatstudent.com,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0
skillstrainer.co.uk,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
pierodecampos.com.br,0,0,0,2,0,0,0,0,1,1,1,1,0,1,1,1,1,1
time4s.pl,0,0,0,2,0,0,0,0,1,1,1,1,0,1,1,1,1,1
newsnow.co.uk,0,0,1,6,0,0,0,0,1,1,0,0,0,1,1,1,1,0
ltraincapital.com,0,0,1,4,0,0,0,0,1,1,0,1,0,1,1,1,1,1
eufo.de,0,0,0,4,0,0,0,0,1,1,1,1,0,1,1,1,1,0
cbseresults.nic.in,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0
movesla.com,0,0,1,2,0,0,0,0,1,1,0,1,0,1,1,1,1,1
futureassociate.com.np,0,0,1,3,0,0,0,0,1,1,1,1,0,1,1,1,1,1
theroyalstore.com,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0
info-blocking.at.ua,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1
kwaderrec.com,0,0,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1
ournepal.info,0,0,1,5,0,0,0,0,1,1,0,0,0,1,1,1,1,1
chrisandclairegethitched.com,0,0,1,2,0,0,0,0,1,1,1,1,0,1,1,1,1,1
mostlychocolate.com,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0
legacyproductsinc.com,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0
lifestylenl.net,0,0,1,3,0,0,0,0,1,1,1,0,0,1,1,1,1,1
buwigzgroup.com,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1
zngr.atspace.com,0,0,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,0
highlinercoffee.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
nanorobotinventor.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
shaga-group.com,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0
pneucarcentroautomotivo.com.br,0,0,1,3,0,0,0,0,1,1,1,1,0,1,1,1,1,1
softpanorama.org,0,0,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,0
thirdrockdesign.co.uk,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
jaw.or.at,0,0,0,2,0,0,0,0,1,1,1,1,0,1,1,1,1,1
svi.nl,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0
settheory.net,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
dileeponline.com,0,0,1,4,0,0,0,0,1,1,0,0,0,1,1,1,1,1
mrscavanaughs.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
telegraphindia.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
groupeageco.ca,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0
mendocino-chocolate.com,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0
searchenginewatch.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
dvdwb.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
